"rawname","name","rawaffiliation","affiliation","stance"
"Brittney Miller","brittney miller","Coe College","coe college","AMS Letter A"
"Brooke Shipley","brooke shipley","University of Illinois at Chicago","university of illinois chicago","AMS Letter A"
"Bruce Reznick","bruce reznick","University of Illinois at Urbana-Champaign","university of illinois urbana champaign","AMS Letter A"
"Bruce Yoshiwara","bruce yoshiwara","Los Angeles Pierce College, retired","los angeles pierce college","AMS Letter A"
"Caglar Uyanik","caglar uyanik","Yale University","yale university","AMS Letter A"
"Caitlin Beecham","caitlin beecham","Georgia Institute of Technology","georgia institute of technology","AMS Letter A"
"Calvin Jongsma","calvin jongsma","Dordt University","dordt university","AMS Letter A"
"Cameron Byerley","cameron byerley","University of Georgia","university of georgia","AMS Letter A"
"Cameron D Hill","cameron d hill","Wesleyan University","wesleyan university","AMS Letter A"
"Carla Cederbaum","carla cederbaum","University of Tubingen, Germany","university of tubingen","AMS Letter A"
"Carmen Caprau","carmen caprau","California State University, Fresno","california state university fresno","AMS Letter A"
"Carol Schumacher","carol schumacher","Kenyon College","kenyon college","AMS Letter A"
"Carolyn M. James","carolyn m james","University of Portland","university of portland","AMS Letter A"
"Carrie Diaz Eaton","carrie diaz eaton","Bates College","bates college","AMS Letter A"
"Carrie Muir","carrie muir","Whatcom Community College","whatcom community college","AMS Letter A"
"Carter Johnson","carter johnson","University of California, Davis","university of california davis","AMS Letter A"
"Casey Monday","casey monday","University of Cincinnati","university of cincinnati","AMS Letter A"
"Casey Warmbrand","casey warmbrand","Arizona State University","arizona state university","AMS Letter A"
"Catherine Buell","catherine buell","Fitchburg State University","fitchburg state university","AMS Letter A"
"Cathery Yeh","cathery yeh","Chapman University","chapman university","AMS Letter A"
"Chad Topaz","chad topaz","Williams College","williams college","AMS Letter A"
"Chanda Prescod-Weinstein","chanda prescod weinstein","University of New Hampshire","university of new hampshire","AMS Letter A"
"Charles D. Camp","charles d camp","Cal Poly San Luis Obispo","california polytechnic state university san luis obispo","AMS Letter A"
"Cheryl Eames","cheryl eames","Southern Illinois University Edwardsville","southern illinois university","AMS Letter A"
"Cheryl Grood","cheryl grood","Swarthmore College","swarthmore college","AMS Letter A"
"Chiheon Kim","chiheon kim","Kakao Brain","kakao brain","AMS Letter A"
"Chloe Urbanski Wawrzyniak","chloe urbanski wawrzyniak","Rutgers University","rutgers university","AMS Letter A"
"Chris Danforth","chris danforth","University of Vermont","university of vermont","AMS Letter A"
"Chris Rasmussen","chris rasmussen","San Diego State University","san diego state university","AMS Letter A"
"Christian Jah","christian jah","Georg-August Universitat Gottingen","university of gottingen","AMS Letter A"
"Christina Edholm","christina edholm","Scripps College","scripps college","AMS Letter A"
"Christina Eubanks-Turner","christina eubanks turner","Loyola Marymount University","loyola marymount university","AMS Letter A"
"Christine von Renesse","christine von renesse","Westfield State University","westfield state university","AMS Letter A"
"Christopher Duffy","christopher duffy","University of Saskatchewan","university of saskatchewan","AMS Letter A"
"Christopher Hanusa","christopher hanusa","Queens College, CUNY","city university of new york","AMS Letter A"
"Christopher Marcotte","christopher marcotte","University of Exeter","university of exeter","AMS Letter A"
"Christopher Miles","christopher miles","Courant Institute of Mathematical Sciences (NYU)","new york university","AMS Letter A"
"Christopher Natoli","christopher natoli","CUNY","city university of new york","AMS Letter A"
"Christopher Perez","christopher perez","University of Illinois at Chicago","university of illinois chicago","AMS Letter A"
"Christopher R. Lee","christopher r lee","University of Portland","university of portland","AMS Letter A"
"Christopher Yakes","christopher yakes","Salem State University","salem state university","AMS Letter A"
"Cihan Can","cihan can","Florida State University","florida state university","AMS Letter A"
"Clara Buck","clara buck","Iowa State University","iowa state university","AMS Letter A"
"Claudio Gomez-Gonzales","claudio gomez gonzales","University of Chicago","university of chicago","AMS Letter A"
"Cody L. Patterson","cody l patterson","Texas State University","texas state university","AMS Letter A"
"Concha Gomez","concha gomez","Diablo Valley College","diablo valley college","AMS Letter A"
"Corrine Yap","corrine yap","Rutgers University","rutgers university","AMS Letter A"
"Cory Colbert","cory colbert","Washington and Lee University","washington and lee university","AMS Letter A"
"Courtney R. Gibbons","courtney r gibbons","Hamilton College","hamilton college","AMS Letter A"
"Cristina Runnalls","cristina runnalls","Cal Poly Pomona","california state polytechnic university pomona","AMS Letter A"
"Crystal Clough","crystal clough","University of Cincinnati","university of cincinnati","AMS Letter A"
"Cvetelina Hill","cvetelina hill","Georgia Institute of Technology","georgia institute of technology","AMS Letter A"
"Cynthia Flores","cynthia flores","California State University Channel Islands","california state university channel islands","AMS Letter A"
"Cynthia Wyels","cynthia wyels","California State University Channel Islands","california state university channel islands","AMS Letter A"
"Dagan Karp","dagan karp","Harvey Mudd College","harvey mudd college","AMS Letter A"
"Dana C. Ernst","dana c ernst","Northern Arizona University","northern arizona university","AMS Letter A"
"Daniel Freeman","daniel freeman","St Louis University","saint louis university","AMS Letter A"
"Daniel Groves","daniel groves","University of Illinois at Chicago","university of illinois chicago","AMS Letter A"
"Daniel Pollack","daniel pollack","University of Washington","university of washington","AMS Letter A"
"Daniel Reinholz","daniel reinholz","San Diego State University","san diego state university","AMS Letter A"
"Danielle Champney","danielle champney","Cal Poly, San Luis Obispo","california polytechnic state university san luis obispo","AMS Letter A"
"Danny Bernard Martin","danny bernard martin","University of Illinois at Chicago","university of illinois chicago","AMS Letter A"
"Dany Waller","dany waller","Morehead State University","morehead state university","AMS Letter A"
"Darren Glass","darren glass","Gettysburg College","gettysburg college","AMS Letter A"
"Dave Jensen","dave jensen","University of Kentucky","university of kentucky","AMS Letter A"
"Dave Kung","dave kung","St. Mary's College of Maryland","saint mary's college of maryland","AMS Letter A"
"David Brown","david brown","Ithaca College","ithaca college","AMS Letter A"
"David Clark","david clark","GVSU","grand valley state university","AMS Letter A"
"David desJardins","david desjardins","MIT Corporation","massachusetts institute of technology","AMS Letter A"
"David Dynerman","david dynerman","Chan-Zuckerberg Biohub","chan zuckerberg biohub","AMS Letter A"
"David Freund","david freund","Harvard University","harvard university","AMS Letter A"
"David Futer","david futer","Temple University","temple university","AMS Letter A"
"David Murrugarra","david murrugarra","University of Kentucky","university of kentucky","AMS Letter A"
"David Neel","david neel","Seattle University","seattle university","AMS Letter A"
"David Plaxco","david plaxco","Clayton State University","clayton state university","AMS Letter A"
"Debra K. Borkovitz","debra k borkovitz","Boston University","boston university","AMS Letter A"
"Derek L. Smith","derek l smith","N/A",NA,"AMS Letter A"
"Derrick Wigglesworth","derrick wigglesworth","University of Arkansas","university of arkansas","AMS Letter A"
"Devlin Mallory","devlin mallory","University of Michigan","university of michigan","AMS Letter A"
"Diana Davis","diana davis","Swarthmore College","swarthmore college","AMS Letter A"
"Diana Thomas","diana thomas","United States Military Academy","united states military academy","AMS Letter A"
"Diane Henderson","diane henderson","Penn State University","pennsylvania state university","AMS Letter A"
"Diego A. Robayo Bargans","diego a robayo bargans","Universidad de Los Andes","universidad de los andes","AMS Letter A"
"Dominic Canzanese","dominic canzanese","Villanova University","villanova university","AMS Letter A"
"Doug Burkholder","doug burkholder","Lenoir-Rhyne University","lenoir rhyne university","AMS Letter A"
"Douglas Norton","douglas norton","Villanova University","villanova university","AMS Letter A"
"Drew Lewis","drew lewis","University of South Alabama","university of south alabama","AMS Letter A"
"Dustin Ross","dustin ross","San Francisco State University","san francisco state university","AMS Letter A"
"Dylan Poulsen","dylan poulsen","Washington College","washington college","AMS Letter A"
"Edgar Fuller","edgar fuller","Florida International University","florida international university","AMS Letter A"
"Eduardo Duenez","eduardo duenez","University of Texas at San Antonio","university of texas san antonio","AMS Letter A"
"Edward Welsh","edward welsh","Westfield State University","westfield state university","AMS Letter A"
"Eileen Fernandez","eileen fernandez","Montclair State University","montclair state university","AMS Letter A"
"Eileen Melville","eileen melville","Clemson University","clemson university","AMS Letter A"
"Eileen Murray","eileen murray","Montclair State University","montclair state university","AMS Letter A"
"Elaine Lande","elaine lande","University of Michigan","university of michigan","AMS Letter A"
